id,value,male,female
xin_jiang,2086576,
xi_zang,265904,
nei_meng_gu,2310941,
qing_hai,535412,
si_chuan,8161604,
hei_long_jiang,3465051,
gan_su,2623094,
yun_nan,4467537,
guang_xi,4362551,
hu_nan,6096586,
shan_xi_1,3614887,
guang_dong,9676589,
ji_lin,2551123,
he_bei,7037620,
hu_bei,5226904,
gui_zhou,3332265,
shan_dong,9272503,
jiang_xi,4251692,
he_nan,9224288,
liao_ning,4252076,
shan_xi_2,3477805,
an_hui,5312628,
fu_jian,3477491,
zhe_jiang,5400348,
jiang_su,7577122,
chong_qing,2609882,
ning_xia,611957,
hai_nan,826560,
tai_wan,,
bei_jing,1849475,
tian_jin,1127589,
shang_hai,2253525,
xiang_gang,,
ao_men,,