name,total,male,female
北京,1849475,941325,908150
天津,1127589,581562,546027
河北,7037620,3554766,3482854
山西,3477805,1771808,1705997
内蒙古,2310941,1186071,1124870
辽宁,4252076,2138602,2113474
吉林,2551123,1287411,1263712
黑龙江,3465051,1749344,1715707
上海,2253525,1151331,1102194
江苏,7577122,3792269,3784853
浙江,5400348,2761136,2639212
安徽,5312628,2678455,2634173
福建,3477491,1773098,1704393
江西,4251692,2188051,2063641
山东,9272503,4663609,4608894
河南,9224288,4650716,4573572
湖北,5226904,2658892,2568012
湖南,6096586,3114294,2982292
广东,9676589,5023631,4652958
广西,4362551,2249997,2112554
海南,826560,432579,393981
重庆,2609882,1310663,1299219
四川,8161604,4120256,4041348
贵州,3332265,1714400,1617865
云南,4467537,2300361,2167176
西藏,265904,134009,131895
陕西,3614887,1848641,1766246
甘肃,2623094,1330609,1292485
青海,535412,273891,261521
宁夏,611957,311355,300602
新疆,2086576,1061322,1025254
香港,723480,334270,389210
澳门,62400,30720,31680
台湾,2322491,1164567,1157923